SLOPE,LOAD,DIRECTION,SPEED
1,1,1,1.553191489
1,1,-1,1.553191489
1,-1,1,1.351851852
1,-1,-1,1.46
-1,1,1,0.776595745
-1,1,-1,0.737373737
-1,-1,1,0.722772277
-1,-1,-1,0.688679245
0,0,0,0.986486487
1,0,0,1.089552239
-1,0,0,0.145708583
0,1,0,1.028169014
0,-1,0,0.935897436
0,0,1,1.327272727
0,0,-1,1.237288136
